cmd,default value/ args,description
_autosave,,Autosave
_autosavedangerous,,AutoSaveDangerous
_bugreporter_restart,,Restarts bug reporter .dll
_fov,0,Automates fov command to server.
_resetgamestats,,Erases current game stats and writes out a blank stats file
_restart,,Shutdown and restart the engine.
achievement_debug,0,[CHEATS REQUIRED] Turn on achievement debug msgs.
addip,,Add an IP address to the ban list.
adsp_alley_min,122,
adsp_courtyard_min,126,
adsp_debug,0,
adsp_door_height,112,
adsp_duct_min,106,
adsp_hall_min,110,
adsp_low_ceiling,108,
adsp_opencourtyard_min,126,
adsp_openspace_min,130,
adsp_openstreet_min,118,
adsp_openwall_min,130,
adsp_room_min,102,
adsp_street_min,118,
adsp_tunnel_min,114,
adsp_wall_height,128,
ai_auto_contact_solver,1,
ai_block_damage,0,
ai_clear_bad_links,,Clears bits set on nav links indicating link is unusable
ai_debug_assault,0,
ai_debug_avoidancebounds,0,
ai_debug_directnavprobe,0,
ai_debug_doors,0,
ai_debug_dyninteractions,0,Debug the NPC dynamic interaction system.
ai_debug_efficiency,0,
ai_debug_enemies,0,
ai_debug_eventresponses,0,"Set to 1 to see all NPC response events trigger, and which NPCs choose to respond to them."
ai_debug_expressions,0,Show random expression decisions for NPCs.
ai_debug_follow,0,
ai_debug_loners,0,
ai_debug_looktargets,0,
ai_debug_los,0,"[CHEATS REQUIRED] NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'l"
ai_debug_nav,0,
ai_debug_node_connect,,Debug the attempted connection between two nodes
ai_debug_ragdoll_magnets,0,
ai_debug_shoot_positions,0,[CHEATS REQUIRED] 
ai_debug_speech,0,
ai_debug_squads,0,
ai_debug_think_ticks,0,
ai_debugscriptconditions,0,
ai_default_efficient,0,
ai_disable,,Bi; passes all AI logic routines and puts all NPCs into their idle animations. Can be used to get NPCs out of your way and to test effect of AI logic routines on frame rate
ai_drawbattlelines,0,[CHEATS REQUIRED] 
ai_drop_hint,,Drop an ai_hint at the player's current eye position.
ai_dump_hints,,
ai_efficiency_override,0,
ai_enable_fear_behavior,1,
ai_expression_frametime,0,Maximum frametime to still play background expressions.
ai_expression_optimization,0,Disable npc background expressions when you can't see them.
ai_fear_player_dist,720,
ai_find_lateral_cover,1,
ai_find_lateral_los,1,
ai_follow_use_points,1,
ai_follow_use_points_when_moving,1,
ai_force_serverside_ragdoll,0,
ai_frametime_limit,50,frametime limit for min efficiency AIE_NORMAL (in sec's).
ai_hull,,"Controls which connections are shown when ai_show_hull or ai_show_connect commands are used Arguments: NPC name or classname, <none>=NPC under crosshair Arguments: NPC name or classname, <none>=NPC under crosshair"
ai_inhibit_spawners,0,[CHEATS REQUIRED] 
ai_lead_time,0,
ai_LOS_mode,0,
ai_moveprobe_debug,0,
ai_moveprobe_jump_debug,0,
ai_moveprobe_usetracelist,0,
ai_navigator_generate_spikes,0,
ai_navigator_generate_spikes_strength,8,
